TPENG ITEM CODE,BILL OF MATERIAL
CONF990203,"UNION, CONDUIT, 3/4"", TYPE ""UNY"" MALE/FEMALE 16"
CONF990213,"NIPPLE, CONDUIT, 1"" X CLOSE 16"
CONS050020,"CONDUIT 3/4"", RIGID GALVANIZED STEEL 16"
CONS050021,"CONDUIT 1"", RIGID GALVANIZED STEEL 16"
CONS070013,"CONDUIT 1"", PVC, SCHEDULE 40 16"
CONS070013,"CONDUIT 1"", RIGID GALVANIZED STEEL 16"
GRNF030147,"COPPER BUSBAR, GROUNDING, 1/4"" X 1.5"" X 144"" 16"
HLTX990001,"STAND-OFF ADAPTOR, HILTI, M8-MF 25, 1"" LONG, WITH NUT, HDG 16"
HLTX990003,"PLATE, MQZ-L9-F 16"
HWRX260004,SPRING NUT 3/8-16 316 SS 16
HWRX260009,"STUD, THREADED, 3/8"", X-BT-MR W10/15 SN 8, WITH NUT, 316 STAINLESS STEEL 16"
HWRX260098,"STUD, THREADED, 8MM, X-BT-GR M8/7 SN 8, W/O NUT, 316 STAINLESS STEEL 16"
HWRX260135,"MACHINE BOLT 3/8"" x 1-1/2"" HEX HEAD NC THREADS 316 STAINLESS STEEL 16"
HWRX260166,"EXPANSION ANCHOR, 3/8"" x 1-1/2"", 316 STAINLESS STEEL, WITH FLAT WASHER AND NUT 16"
HWRX260171,FEED-THROUGHT TERMINAL BLOCK-ST6 16
HWRX260172,"PLUG IN BRIDGE, FBS, 2-8, TYPE JUMPER 16"
HWRX260173,"END CLAMP, CLIPFIX 35 16"
JBXX990029,"JUCTION BOX, FOR STREET LIGHT POLE, NEMA 4X, 12"" X 12"" X 6"" ,INCLUDE BREATHERS AND DRAINS 16"
LTGA990025,"2.375""- LGC, ACCESS OPTS, LED MOUNT, END: BOLTED, MATL: BRONZE TYPE: BULL HN BKT, 2 LIGHTS 16"
LTGB990008,"TENON TOPPER, POLE SET SCREWS AND MOUNTING HARDWARE, FLOODLIGHT 16"
LTGB990114,"LED LINEAR ,BRACKET MOUNT ,25 DEG. ANGLE, 30W,100-240VAC, 5700K 16"
LTGB990115,"LED LINEAR , BRACKET MOUNT ,25 DEG. ANGLE, 40W,100-240VAC, 5700K 16"
LTGB990116,"LED LINEAR , BRACKET MOUNT ,25 DEG. ANGLE, 60W,100-240VAC, 5700K 16"
LTGF990089,"LED, CHAMP PFMVA FLOOD, YOKE MOUNT, 67W, 120-277VAC, 5000K, 3/4"" HUB 16"
LTGF990090,"LED, CHAMP PFMVA FLOOD, YOKE MOUNT, 82W, 120-277VAC, 5000K, 3/4"" HUB 16"
LTGF990091,"LED, CHAMP PFMVA FLOOD, YOKE MOUNT, 93W, 120-277VAC, 5000K, 3/4"" HUB 16"
LTGP990132,METALLIC MAST 100 FEET 16
ONF150183,"FITTING, CONDUIT BODY 1"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET 16C"
ONS050021,"CONDUIT 1"", RIDGE GALVANIZED STEEL 16C"
PTS060004,"STEEL PLATE, GALVANIZED, 1/4"" X 4"" X 1' -6"" 16S"
SPTS100016,"DIN RAIL PERFORATED-NS, 1,4""X06"" 16"
STUA260014,"CONDUIT STRAP, 3/4"" SS WITH SS6 HARDWARE, USE WITH 1 5/8"" STRUT CHANNEL 16"
STUS060056,"STRUT, HS-1-5/8"" X 1-5/8"", 12 GAUGE, HDG 16"
STUS060064,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SLOTTED 16"
TGO990002,"OBSTRUCTION LIGHT, DUAL, RED/WHITE, LED, DIALIGHT, DHZ-BFHD-8C 16L"
TGO990073,"DIALIGHT, SAFESITE L-810, RED LED OBSTRUCTION LIGHT (RED),SINGLE UNIT, 120V AC, CL I, DIV 2 16L"
TGO990073,"RED LED OBSTRUCTION LIGHT, CLASS 1, DIVISION 2 16L"
TGO990074,"PHOTOCELL, CL I, DIV 2 16L"
TGO990107,PHOTOCELL 16L
TGO990125,"INDUSTRIAL FLASHING,L-810, RED LED OBSTRUCTION SAFE AREA 16L"
TGO990125,INDUSTRIAL RED LED OBSTRUCTION LIGHT SAFE AREA 16L
TGP050075,"POWER SUPPLY PANEL L864/L865 CL I, DIV 2 16L"
TGP050076,"CONTROLLER FOR L-864/L-810 RED LIGHTS,120-240V AC, 50/60 HZ,CL I, DIV 2 16L"
TGP990126,FLASHING DUAL (WHITE/RED) L-864/865 SAFE AREA 16L
TGP990127,"CONTROLLER FOR L-864/L-810 RED LIGHTS,120-240V AC, 50/60 HZ, SAFE AREA 16L"
TGP990128,POWER SUPPLY PANEL L864/L865 SAFE AREA 16L
TUA080017,"CONDUIT STRAP 1"" 304SS WITH 304SS HARDWARE, USE WITH 1 5/8"" STRUT CHANNEL 16S"
TUS060003,"STRUT CHANNEL, 1 5/8"" x 1 5/8"" HDG SOLID STRUT 10FT 16S"
